seq_len,batch_size,lr,epochs,val_avg_loss,val_acc,val_topk_acc
50,4,0.0001,10,2.3018701314926147,0.44,0.6568421052631579
50,4,0.0001,20,3.7469891548156737,0.4231578947368421,0.6347368421052632
50,4,0.01,10,2.837791633605957,0.1631578947368421,0.3526315789473684
50,4,0.01,20,2.7671515941619873,0.16,0.39473684210526316
50,16,0.0001,10,2.215535283088684,0.3589473684210526,0.608421052631579
50,16,0.0001,20,2.6386202573776245,0.4421052631578947,0.6578947368421053
50,16,0.01,10,2.874867796897888,0.15052631578947367,0.3389473684210526
50,16,0.01,20,2.7394555807113647,0.16210526315789472,0.39789473684210525
100,4,0.0001,10,2.1972924073537192,0.44666666666666666,0.6844444444444444
100,4,0.0001,20,3.1980913480122886,0.45555555555555555,0.6777777777777778
100,4,0.01,10,2.8917028109232583,0.15,0.2966666666666667
100,4,0.01,20,2.76982045173645,0.19,0.4166666666666667
100,16,0.0001,10,2.291381359100342,0.31777777777777777,0.5666666666666667
100,16,0.0001,20,2.1742260456085205,0.4033333333333333,0.6477777777777778
100,16,0.01,10,2.8831849098205566,0.15,0.3288888888888889
100,16,0.01,20,2.7208590507507324,0.2088888888888889,0.42333333333333334
